,tourney_year,tourney_name,tourney_location,tourney_dates,tourney_conditions,tourney_surface,player_ranking,opponent_name,match_win_loss,match_score
158,2001,ATP Masters Series Rome,"Rome, Italy",2001.05.07 - 2001.05.13,Outdoor,Clay,18,Wayne Ferreira,L,67(4) 26
159,2001,ATP Masters Series Rome,"Rome, Italy",2001.05.07 - 2001.05.13,Outdoor,Clay,18,Marat Safin,W,46 64 76(5) 
160,2001,ATP Masters Series Rome,"Rome, Italy",2001.05.07 - 2001.05.13,Outdoor,Clay,18,Thomas Johansson,W,76(3) 46 76(5) 
161,2001,ATP Masters Series Monte Carlo,"Monte Carlo, Monaco",2001.04.16 - 2001.04.22,Outdoor,Clay,22,Sebastien Grosjean,L,46 36
162,2001,ATP Masters Series Monte Carlo,"Monte Carlo, Monaco",2001.04.16 - 2001.04.22,Outdoor,Clay,22,Arnaud Di Pasquale,W,61 62
163,2001,ATP Masters Series Monte Carlo,"Monte Carlo, Monaco",2001.04.16 - 2001.04.22,Outdoor,Clay,22,Davide Sanguinetti,W,76(5) 76
164,2001,ATP Masters Series Monte Carlo,"Monte Carlo, Monaco",2001.04.16 - 2001.04.22,Outdoor,Clay,22,Michael Chang,W,64 63
165,2001,FRA v SUI WG QF,Neuchatel,2001.04.02 - 2001.04.08,Indoor,Carpet,21,Arnaud Clement,W,64 36 76(5) 64
166,2001,FRA v SUI WG QF,Neuchatel,2001.04.02 - 2001.04.08,Indoor,Carpet,21,Nicolas Escude,L,46 76(1) 36 46
167,2001,ATP Masters Series Miami,"Miami, FL, U.S.A.",2001.03.19 - 2001.04.01,Outdoor,Hard,24,Patrick Rafter,L,36 16
168,2001,ATP Masters Series Miami,"Miami, FL, U.S.A.",2001.03.19 - 2001.04.01,Outdoor,Hard,24,Thomas Johansson,W,76(3) 57 76(7) 
169,2001,ATP Masters Series Miami,"Miami, FL, U.S.A.",2001.03.19 - 2001.04.01,Outdoor,Hard,24,Mark Philippoussis,W,36 76(4) 62
170,2001,ATP Masters Series Miami,"Miami, FL, U.S.A.",2001.03.19 - 2001.04.01,Outdoor,Hard,24,Younes El Aynaoui,W,62 62
171,2001,ATP Masters Series Indian Wells,"Indian Wells, CA, U.S.A.",2001.03.12 - 2001.03.18,Outdoor,Hard,21,Nicolas Kiefer,L,63 57 16
172,2001,Rotterdam,"Rotterdam, Netherlands",2001.02.19 - 2001.02.25,Indoor,Hard,23,Nicolas Escude,L,57 63 67(5) 
173,2001,Rotterdam,"Rotterdam, Netherlands",2001.02.19 - 2001.02.25,Indoor,Hard,23,Andrei Pavel,W,67(4) 64 60
174,2001,Rotterdam,"Rotterdam, Netherlands",2001.02.19 - 2001.02.25,Indoor,Hard,23,Alex Corretja,W,64 62
175,2001,Rotterdam,"Rotterdam, Netherlands",2001.02.19 - 2001.02.25,Indoor,Hard,23,Sebastien Grosjean,W,46 63 64
176,2001,Rotterdam,"Rotterdam, Netherlands",2001.02.19 - 2001.02.25,Indoor,Hard,23,Andrew Ilie,W,76(5) 61
177,2001,Marseille,"Marseille, France",2001.02.12 - 2001.02.18,Indoor,Hard,23,Yevgeny Kafelnikov,L,76(4) 46 46
178,2001,Marseille,"Marseille, France",2001.02.12 - 2001.02.18,Indoor,Hard,23,Michel Kratochvil,W,64 76(4) 
179,2001,Marseille,"Marseille, France",2001.02.12 - 2001.02.18,Indoor,Hard,23,Bob Bryan,W,76(1) 63
180,2001,Marseille,"Marseille, France",2001.02.12 - 2001.02.18,Indoor,Hard,23,Cyril Saulnier,W,76(7) 64
181,2001,SUI v USA WG Rd 1,"Basel, Switzerland",2001.02.05 - 2001.02.11,Indoor,Hard,22,Jan-Michael Gambill,W,75 62 46 62
182,2001,SUI v USA WG Rd 1,"Basel, Switzerland",2001.02.05 - 2001.02.11,Indoor,Hard,22,Todd Martin,W,64 76(3) 46 61
183,2001,Milan,"Milan, Italy",2001.01.29 - 2001.02.04,Indoor,Carpet,27,Julien Boutter,W,64 67(7) 64
184,2001,Milan,"Milan, Italy",2001.01.29 - 2001.02.04,Indoor,Carpet,27,Yevgeny Kafelnikov,W,62 67(4) 63
185,2001,Milan,"Milan, Italy",2001.01.29 - 2001.02.04,Indoor,Carpet,27,Goran Ivanisevic,W,64 64
186,2001,Milan,"Milan, Italy",2001.01.29 - 2001.02.04,Indoor,Carpet,27,Cyril Saulnier,W,26 63 64
187,2001,Milan,"Milan, Italy",2001.01.29 - 2001.02.04,Indoor,Carpet,27,Rainer Schuettler,W,63 64
188,2001,Australian Open,"Melbourne, Australia",2001.01.15 - 2001.01.28,Outdoor,Hard,29,Arnaud Clement,L,67(5) 46 46
189,2001,Australian Open,"Melbourne, Australia",2001.01.15 - 2001.01.28,Outdoor,Hard,29,Nicolas Escude,W,61 64 64
190,2001,Australian Open,"Melbourne, Australia",2001.01.15 - 2001.01.28,Outdoor,Hard,29,Arnaud Di Pasquale,W,64 46 61 75
191,2001,Sydney,"Sydney, Australia",2001.01.08 - 2001.01.14,Outdoor,Hard,30,Sebastien Grosjean,L,57 46
192,2001,Sydney,"Sydney, Australia",2001.01.08 - 2001.01.14,Outdoor,Hard,30,Marc Rosset,W,61 62
193,2001,Sydney,"Sydney, Australia",2001.01.08 - 2001.01.14,Outdoor,Hard,30,Wayne Ferreira,W,63 64
